title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Swiss immigration","Joseph and Katy Schibig and Joseph Marty describe their experiences as Swiss immigrants to Tacoma and reflect on the legacy of the citys close-knit Swiss community. Areas of focus include the Tacoma Swiss Society and the Swiss Hall and Tavern, which Marty managed from 1952 to 1963.","","","1994","","","","","Marty, Joseph, 1912-2001--Interviews; Schibig, Joseph 1898-2001--Interviews; Schibig, Katy, 1916-1995--Interviews; Inderbitzen, Dick--Interviews; Swiss Americans--Washington (State)--Tacoma--Interviews; Immigrants--Washington (State)--Tacoma--Interviews; usinesspeople--Washington (State)--Tacoma--Interviews; Dairy farmers--Washington (State)--Tacoma--Interviews; Sanitation workers--Washington (State)--Tacoma--Interviews; Fraternal organizations--Washington (State)--Tacoma; Fraternal organizations--Washington (State)--Tacoma--Buildings; United States--Emigration and immigration; Americanization; Tacoma (Wash.)--History","","","University of Washington Tacoma Community History Project","","chp1994-04","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","244","tchp244","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/244","","erika-b.github.io/tchp_dev/items/tchp244.html"
"Lewis-McChord Free Press cover, image","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-05image","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","245","tchp245","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/245","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/245/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp245.html"
"Beula Robb, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-05essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","246","tchp246","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/246","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/246.pdf","erika-b.github.io/tchp_dev/items/tchp246.html"
"Michael Royce, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-05trascript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","247","tchp247","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/247","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/247.pdf","erika-b.github.io/tchp_dev/items/tchp247.html"
"Michael Royce, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","248","tchp248","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/248","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/248","erika-b.github.io/tchp_dev/items/tchp248.html"
"Winning the Hearts and Minds of Fort Lewis and McChord GIs During the Vietnam Era","Michael Royce discusses his time as a civil rights activist in the South and shares his thoughts on college life during the tumultuous 1960s. Drafted into the army following his graduation from college in 1968, Royce reflects on his military experience at Fort Lewis and talks about his involvement with the Lewis-McChord Free Press, an underground anti-war newspaper.","","","1994","","","","","Royce, Michael, 1946--Interviews; Veterans--Washington (State)--Tacoma--Interviews; Pacifists--Washington (State)--Tacoma--Interviews; Soldiers--Political activity--Washington (State)--Joint Base Lewis-McChord; Peace movements--Washington (State)--Joint Base Lewis-McChord; Vietnam War, 1961-1975--Protest movements--Washington (State)--Joint Base Lewis-McChord; United States--Armed Forces--Political activity; Lewis-McChord free press; Underground newspapers--Washington (State)--Joint Base Lewis-McChord","","","University of Washington Tacoma Community History Project","","chp1994-05","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","249","tchp249","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/249","","erika-b.github.io/tchp_dev/items/tchp249.html"
"Barbara Shaw, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-06essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","250","tchp250","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/250","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/250.pdf","erika-b.github.io/tchp_dev/items/tchp250.html"
"Dr. Thomas W. Anderson, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-06trascript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","251","tchp251","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/251","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/251.pdf","erika-b.github.io/tchp_dev/items/tchp251.html"
"Dr. Thomas W. Anderson, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-06audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","252","tchp252","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/252","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/252","erika-b.github.io/tchp_dev/items/tchp252.html"
"Dr. Thomas W. Anderson, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-06audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","253","tchp253","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/253","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/253","erika-b.github.io/tchp_dev/items/tchp253.html"
"Dr. Thomas W. Anderson, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-06audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","254","tchp254","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/254","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/254","erika-b.github.io/tchp_dev/items/tchp254.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-06bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","255","tchp255","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/255","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/255.pdf","erika-b.github.io/tchp_dev/items/tchp255.html"
"A concrete look at our community","Dr. Thomas W. Anderson, co-founder of Concrete Technology Corporation (CTC), shares his personal history and gives an economic and historical overview of CTC, the first prestressed concrete manufacturing plant in the U.S. He discusses CTC&#39;s pioneering role in the prestressed concrete industry, its major milestones, and its philosophy of corporate responsibility.","","","1994","","","","","Anderson, Thomas W., 1912-2000--Interviews; Anderson, Arthur R., 1910-1995; Civil engineers--Washington (State)--Tacoma--Interviews; Businesspeople--Washington (State)--Tacoma--Interviews; Civic leaders--Washington (State)--Tacoma--Interviews; Concrete Technology Corporation; Concrete construction industry--Washington (State)--Tacoma; Prestressed concrete construction--Washington (State)--Tacoma; Tacoma (Wash.)--History","","","University of Washington Tacoma Community History Project","","chp1994-06","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","256","tchp256","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/256","","erika-b.github.io/tchp_dev/items/tchp256.html"
"Lena Landry, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03photograph1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","257","tchp257","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/257","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/257/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp257.html"
"Judy Wright, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03photograph2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","258","tchp258","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/258","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/258/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp258.html"
"Charles H. Thomas, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03photograph3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","259","tchp259","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/259","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/259/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp259.html"
"Darlyne Reiter, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","260","tchp260","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/260","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/260.pdf","erika-b.github.io/tchp_dev/items/tchp260.html"
"Lena Landry, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03transcript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","261","tchp261","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/261","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/261.pdf","erika-b.github.io/tchp_dev/items/tchp261.html"
"Lena Landry, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","262","tchp262","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/262","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/262","erika-b.github.io/tchp_dev/items/tchp262.html"
"Judy Wright, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03transcript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","263","tchp263","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/263","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/263.pdf","erika-b.github.io/tchp_dev/items/tchp263.html"
"Judy Wright, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","264","tchp264","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/264","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/264","erika-b.github.io/tchp_dev/items/tchp264.html"
"Charles H. Thomas, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1998-03transcript3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","265","tchp265","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/265","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/265.pdf","erika-b.github.io/tchp_dev/items/tchp265.html"
